campaignID,date,lettersSent,CostUnit
153,2004-12-13,6873,0.17
154,2005-01-01,7656,0.3
180,2005-01-18,9933,0.2
433,2005-01-29,7448,0.59
476,2005-02-12,6605,0.51
498,2005-02-22,5441,0.2
536,2005-03-12,8417,0.3
574,2005-03-29,8986,0.4
584,2005-04-17,8246,0.29
606,2005-05-02,8120,0.37
627,2005-05-15,5193,0.48
663,2005-05-26,5244,0.31
669,2005-06-09,18230,0.52
711,2005-06-28,17976,0.02
723,2005-07-09,22810,0.0
767,2005-07-20,24950,0.14
768,2005-08-08,30031,0.25
796,2005-08-18,15716,0.41
804,2005-09-03,21712,0.1
816,2005-09-18,28764,0.32
850,2005-10-07,38052,0.23
858,2005-10-21,31961,0.31
899,2005-11-09,20290,0.14
901,2005-11-25,38859,0.22
930,2005-12-13,39783,0.08
954,2005-12-29,36151,0.51
968,2006-01-16,7682,0.19
979,2006-01-31,37626,0.17
980,2006-02-14,36616,0.02
1000,2006-02-24,33015,0.32
1026,2006-03-13,38380,0.2
1028,2006-03-29,38431,0.06
1034,2006-04-17,34657,0.06
1058,2006-05-06,32260,0.45
1074,2006-05-20,39037,0.51
1101,2006-06-08,30593,0.28
1148,2006-06-20,35119,0.41
1149,2006-06-30,32113,0.04
1153,2006-07-18,9496,0.3
1181,2006-08-06,38342,0.1
1185,2006-08-21,34620,0.3
1207,2006-08-31,34719,0.41
1212,2006-09-19,36619,0.5
1218,2006-10-04,39806,0.3
1235,2006-10-23,24934,0.1
1245,2006-11-02,37662,0.2
1248,2006-11-18,35984,0.3
1280,2006-12-06,34003,0.19
1316,2006-12-17,38326,0.5
1317,2007-01-05,36898,0.12
1331,2007-01-19,9196,0.04
1338,2007-02-07,31051,0.34
1343,2007-02-26,25207,0.21
1374,2007-03-17,23399,0.5
1377,2007-04-02,38426,0.31
1397,2007-04-21,28098,0.3
1400,2007-05-07,36693,0.33
1424,2007-05-17,27178,0.5
1428,2007-06-02,36013,0.51
1465,2007-06-12,32766,0.41
1489,2007-06-27,32381,0.3
1490,2007-07-07,31132,0.2
1513,2007-07-27,36935,0.11
1529,2007-08-09,38283,0.31
1544,2007-08-26,35109,0.09
1556,2007-09-07,35868,0.6
1568,2007-09-19,34473,0.21
1577,2007-10-09,34636,0.31
1601,2007-10-28,23092,0.61
1615,2007-11-07,39105,0.07
1626,2007-11-24,38015,0.21
1634,2007-12-08,34080,0.21
1636,2007-12-27,35839,0.19
1663,2008-01-06,34984,0.3
1664,2008-01-23,35136,0.2
1678,2008-02-11,6137,0.56
1698,2008-02-21,30554,0.18
1699,2008-03-07,34837,0.3
1736,2008-03-17,32144,0.21
1739,2008-04-05,37408,0.3
1755,2008-04-24,35908,0.21
1775,2008-05-10,36419,0.3
1778,2008-05-25,30558,0.41
1790,2008-06-04,35199,0.5
1808,2008-06-22,39664,0.61
1843,2008-07-07,38921,0.61
1844,2008-07-27,34019,0.14
1851,2008-08-07,39826,0.11
1861,2008-08-27,31041,0.12
1875,2008-09-15,39586,0.51
1878,2008-09-25,39575,0.6
1903,2008-10-07,33468,0.21
1904,2008-10-18,31811,0.17
1917,2008-10-29,33576,0.4
1929,2008-11-10,36639,0.31
1933,2008-11-26,34890,0.2
1949,2008-12-09,32879,0.31
1962,2008-12-24,38798,0.2
1966,2009-01-10,38255,0.6
1991,2009-01-25,36824,0.61
1992,2009-02-08,36418,0.21
2021,2009-02-23,33228,0.31
2029,2009-03-06,39711,0.1
2035,2009-03-21,39115,0.41
2040,2009-04-03,38581,0.15
2059,2009-04-13,36326,0.41
2090,2009-04-28,38942,0.21
2094,2009-05-18,32506,0.41
2105,2009-05-28,39893,0.21
2123,2009-06-12,37259,0.6
2129,2009-06-24,29516,0.41
2133,2009-07-10,37630,0.6
2144,2009-07-23,39524,0.6
2163,2009-08-08,34123,0.6
2193,2009-08-24,33159,0.61
2194,2009-09-13,31452,0.17
2224,2009-09-24,35702,0.09
2225,2009-10-13,36911,0.31
2231,2009-10-26,27789,0.4
2232,2009-11-05,32910,0.05
2233,2009-11-17,39015,0.41
2256,2009-12-05,30457,0.61
2263,2009-12-22,35685,0.41
2285,2010-01-03,38097,0.3
2296,2010-01-17,22879,0.2
2319,2010-02-03,19495,0.4
2335,2010-02-19,26183,0.41
2351,2010-03-08,35940,0.6
2360,2010-03-25,35044,0.4
2389,2010-04-05,32128,0.3
2390,2010-04-20,34634,0.02
2414,2010-05-05,28855,0.41
2415,2010-05-24,15502,0.5
2416,2010-06-07,5578,0.07
2417,2010-06-26,32773,0.3
2451,2010-07-09,36093,0.3
2470,2010-07-21,31510,0.4
2485,2010-08-04,31999,0.2
2498,2010-08-22,37646,0.31
2534,2010-09-11,35652,0.41
2550,2010-09-28,36988,0.21
2553,2010-10-18,42191,0.2
2566,2010-10-28,38026,0.41
2577,2010-11-08,9906,0.29
2579,2010-11-20,28346,0.11
2580,2010-12-09,8285,0.26
2632,2010-12-25,38798,0.3
2633,2011-01-07,28159,0.2
2646,2011-01-20,34106,0.6
2653,2011-02-02,25277,0.21
2654,2011-02-13,39457,0.23
2677,2011-03-02,6604,0.39
2695,2011-03-16,36525,0.41
2710,2011-04-05,34330,0.61
2711,2011-04-16,39620,0.41
2712,2011-04-26,36767,0.2
2713,2011-05-12,22858,0.41
2714,2011-05-28,45588,0.51
2802,2011-06-15,47875,0.31
2838,2011-07-03,44088,0.6
2871,2011-07-17,35682,0.6
2872,2011-07-29,26727,0.03
2905,2011-08-13,38644,0.6
2908,2011-08-30,27897,0.2
2916,2011-09-17,30513,0.5
2945,2011-10-03,38422,0.31
2963,2011-10-14,33877,0.2
2964,2011-10-26,26738,0.4
2994,2011-11-05,23838,0.3
3016,2011-11-24,21125,0.21
3033,2011-12-09,18667,0.21
3049,2011-12-19,21282,0.2
3064,2011-12-30,20249,0.61
3079,2012-01-18,24759,0.21
3083,2012-02-07,32457,0.2
3108,2012-02-27,36564,0.6
3125,2012-03-08,31665,0.3
3129,2012-03-23,28248,0.4
3183,2012-04-02,24062,0.21
3184,2012-04-14,30755,0.41
3186,2012-05-01,47681,0.5
3187,2012-05-16,39044,0.3
3188,2012-06-04,29504,0.6
3189,2012-06-16,38672,0.61
3236,2012-07-05,35793,0.31
3249,2012-07-23,24461,0.21
3254,2012-08-11,23102,0.31
3277,2012-08-24,29995,0.2
3300,2012-09-05,29865,0.31
3318,2012-09-20,22795,0.14
3330,2012-10-01,39193,0.21
3346,2012-10-21,21555,0.4
3348,2012-11-06,16999,0.5
3356,2012-11-26,5936,0.57
3357,2012-12-15,8114,0.23
